Id,T_AB,Veloc,Largo,Desviacion,Categ
60,0.22,65,491,0.87,2
61,0.144,99,528,1.58,1
62,0.181,79,512,1.26,1
63,0.173,83,474,1.19,1
65,0.126,114,546,0.9,2
68,0.169,85,446,1.21,1
69,0.207,69,835,0.45,4
70,0.177,81,462,1.32,1
71,0.169,85,466,1.16,1
72,0.181,79,420,1.03,1
73,0.178,80,1461,1.6,6
74,0.321,44,597,1.17,3
75,0.234,61,627,1.13,3
76,0.261,55,497,1.1,1
77,0.305,47,806,0.49,4
78,0.248,58,485,1.3,1
79,0.183,78,459,0.99,1
80,0.225,64,477,1.07,1
81,0.157,91,524,0.84,2
82,0.174,82,543,1.41,1
83,0.174,82,471,0.89,2
84,0.132,109,411,0.79,1
85,0.227,63,746,0.53,4
86,0.174,82,486,1.4,1
87,0.16,89,447,0.87,1
88,0.181,79,516,1.11,3
89,0.202,71,582,0.85,3
90,0.156,92,413,0.84,1
91,0.211,68,1781,0.47,5
94,0.228,63,511,0.92,3
95,0.209,68,532,0.84,3
96,0.132,109,432,0.95,1
97,0.19,75,716,0.69,4
98,0.17,84,482,1.08,1
99,0.203,71,577,0.63,2
100,0.197,72,471,1.09,1
101,0.174,82,452,1.39,1
0,0.152,94,495,1.32,1
1,0.174,82,437,0.93,1
2,0.187,77,539,1.46,1
3,0.19,75,482,1.31,1
4,0.179,80,505,1.39,1
6,0.214,67,1608,0.38,5
7,0.127,113,463,1.11,1
8,0.174,82,512,1.37,1
9,0.198,72,1133,0.93,6
10,0.203,71,472,1.19,1
11,0.22,65,439,1.2,1
12,0.18,79,411,1.1,1
13,0.168,85,464,0.93,2
14,0.183,78,503,0.95,2
16,0.163,88,1434,1.5,6
17,0.175,82,470,1.26,1
18,0.163,88,482,1.3,1
19,0.193,74,509,1.25,1
20,0.236,61,709,0.51,4
21,0.187,76,480,1.38,1
22,0.201,71,418,0.74,1
23,0.199,72,733,0.58,4
24,0.327,44,489,0.86,2
29,0.225,63,1674,0.52,5
34,0.169,85,457,1.25,1
36,0.174,82,603,0.79,2
37,0.152,94,507,0.85,2
38,0.173,83,506,1.06,1
39,0.165,87,472,1.26,1
40,0.159,90,478,1.28,1
41,0.275,52,744,0.5,4
42,0.188,76,440,1.23,1
43,0.22,65,436,1.32,1
44,0.204,70,450,1.28,1
45,0.144,100,494,0.97,1
46,0.189,76,1003,0.77,6
47,0.346,41,866,0.5,4
50,0.164,87,495,0.8,2
51,0.217,66,464,1.45,1
52,0.194,74,514,1.42,1
53,0.191,75,502,1.02,1
56,0.127,112,536,0.88,2
57,0.155,92,476,1.32,1
59,0.183,78,488,1.39,1
60,0.166,86,475,1.35,1
61,0.177,81,430,1.09,1
62,0.132,108,514,1.17,1
63,0.231,62,540,1.11,3
64,0.209,68,477,1.43,1
65,0.16,90,443,1.15,1
66,0.169,85,470,1.37,1
67,0.181,79,477,1.29,1
68,0.207,69,528,1.13,2
71,0.178,80,460,1.19,1
72,0.178,80,554,1.12,3
73,0.34,42,418,0.93,1
74,0.228,63,456,1.24,1
75,0.236,61,489,0.77,2
76,0.071,201,697,1.14,1
77,0.19,75,499,1.38,1
78,0.11,130,478,0.67,2
79,0.16,90,430,1.22,1
80,0.158,90,444,1.07,1
81,0.176,81,464,1.22,1
82,0.163,88,605,1.34,3
83,0.165,87,511,1.07,1
86,0.169,85,486,1.27,1
87,0.174,82,465,1.33,1
88,0.18,79,441,1.11,1
89,0.151,95,514,1.23,2
90,0.161,89,463,1.03,2
91,0.157,91,427,1.11,1
92,0.27,53,708,0.62,4
93,0.272,52,509,0.74,2
94,0.165,87,479,1.39,1
95,0.211,68,569,0.47,4
96,0.22,65,446,0.99,1
97,0.216,66,493,1.42,1
98,0.199,72,487,1.1,1
99,0.186,77,469,1.26,1
100,0.16,89,467,1.4,1
101,0.185,77,482,1.23,1
102,0.136,105,511,0.71,2
0,0.15,96,620,1.52,1
1,0.177,81,590,1.32,1
2,0.144,100,1861,0.49,5
3,0.155,92,679,1.15,3
4,0.186,77,588,1.34,1
5,0.197,72,1751,0.49,5
6,0.191,75,548,1.24,1
7,0.185,77,529,0.61,2
8,0.274,52,649,1.1,3
9,0.175,82,601,1.09,1
10,0.155,93,1774,0.72,5
11,0.215,66,538,1.21,1
12,0.151,95,529,1.14,1
13,0.148,97,565,1.06,1
14,0.263,54,1808,0.57,5
15,0.203,71,671,0.34,4
16,0.225,64,1068,0.46,4
17,0.138,104,580,1.24,1
18,0.236,61,607,0.82,2
19,0.232,62,600,0.31,4
20,0.207,69,536,1.31,1
21,0.29,49,1956,0.36,1
22,0.192,75,544,1.39,1
23,0.169,85,586,1.39,1
24,0.207,69,492,0.42,3
25,0.461,31,552,0.59,2
26,0.314,45,531,1.02,1
27,0.31,46,512,1.04,1
28,0.134,107,553,1.3,1
29,0.196,73,488,0.7,1
30,0.156,92,556,1.35,1
31,0.162,89,782,0.32,1
32,0.214,67,1695,0.44,4
33,0.145,99,523,1.34,5
34,0.275,52,1847,0.52,1
35,0.26,55,589,1.25,5
36,0.218,66,579,1.32,1
37,0.189,76,514,1.25,1
40,0.181,79,514,1.34,3
41,0.153,93,548,1.31,1
42,0.169,85,541,1.26,1
43,0.327,43,438,0.53,1
44,0.129,111,564,1.05,1
45,0.16,89,582,1.52,1
46,0.201,71,486,0.94,1
47,0.234,61,859,0.45,4
48,0.232,62,667,0.82,2
49,0.212,67,563,1.39,1
50,0.208,69,517,1.3,1
51,0.223,64,1860,0.45,7
52,0.167,86,526,1.23,1
53,0.151,95,1195,0.69,8
54,0.306,47,560,0.86,2
55,0.17,84,540,1.2,1
56,0.201,71,611,1.48,1
57,0.215,66,576,1.14,1
58,0.159,90,580,1.26,1
59,0.256,56,502,0.37,1
60,0.262,55,558,0.93,3
61,0.204,70,559,1.35,1
62,0.217,66,584,1.56,1
63,0.151,95,533,0.86,1
64,0.155,93,553,1.53,1
65,0.17,84,591,1.35,1
66,0.181,79,511,0.91,1
67,0.185,77,586,1.52,1
68,0.207,69,616,1.41,1
69,0.193,74,638,0.97,2
70,0.153,93,569,1.31,1
71,0.158,91,571,1.41,1
72,0.182,79,593,1.29,1
73,0.332,43,1193,1.07,6
74,0.243,59,532,1.29,1
75,0.284,50,1958,0.56,5
76,0.3,47,798,0.47,4
77,0.3,47,519,1.2,1
78,0.207,69,539,1.21,1
79,0.199,72,598,1.55,1
80,0.245,58,676,0.44,4
81,0.174,82,544,0.73,2
82,0.121,119,588,1.44,1
83,0.193,74,518,1.24,1
84,0.195,73,626,1.06,3
85,0.245,58,612,1.28,1
86,0.171,84,486,0.68,1
87,0.148,97,539,1.3,1
88,0.193,74,571,1.18,1
89,0.141,102,595,1.2,1
90,0.144,100,584,1.19,1
91,0.215,66,579,0.79,2
92,0.174,82,612,0.79,2
93,0.203,70,874,0.48,4
94,0.207,69,569,1.6,1
95,0.463,31,2005,0.43,7
96,0.459,31,2013,0.45,7
97,0.436,33,412,0.65,1
98,0.559,25,845,0.54,4
99,0.618,23,686,0.62,4
100,0.181,79,601,1.05,3
101,0.162,89,603,1.48,1
0,0.238,60,1432,0.38,5
1,0.24,60,1091,0.54,4
2,0.234,61,534,1.08,1
3,0.147,98,588,1.29,1
4,0.153,93,583,1.34,1
5,0.243,59,1839,0.38,7
6,0.147,98,584,1.32,1
7,0.134,107,658,0.99,3
8,0.234,61,1283,0.86,8
9,0.23,62,848,0.46,4
10,0.226,63,638,0.82,2
11,0.229,62,485,0.84,1
12,0.115,125,555,1.44,1
13,0.378,38,810,0.42,4
14,0.37,38,605,0.8,2
15,0.228,63,583,1.44,1
16,0.18,80,545,1.31,1
17,0.237,60,623,1.49,1
18,0.174,82,624,1.15,3
19,0.177,81,580,1.33,1
20,0.169,85,541,1.38,1
21,0.251,57,596,1.3,1
22,0.18,80,587,1.37,1
23,0.214,67,509,1.26,1
24,0.233,61,935,0.95,8
25,0.243,59,563,0.68,2
26,0.237,60,635,1.02,3
27,0.163,88,609,1.32,1
28,0.2,71,654,1.04,2
29,0.193,74,1008,0.47,4
30,0.158,91,1809,0.44,7
31,0.159,90,587,1.54,1
32,0.162,89,440,0.95,1
33,0.262,54,789,0.61,4
34,0.166,86,608,1.34,3
35,0.185,77,576,1.1,1
36,0.166,86,824,1.2,3
37,0.177,81,571,1.54,1
38,0.208,69,748,0.4,4
39,0.232,62,1055,0.47,4
40,0.248,58,559,1.19,1
41,0.221,65,1972,0.49,7
42,0.217,66,2046,0.44,7
43,0.239,60,566,1.09,1
44,0.23,62,442,0.48,1
45,0.197,72,425,0.62,1
46,0.202,71,572,1.23,1
48,0.206,70,2020,0.43,7
49,0.203,70,577,0.8,1
51,0.188,76,726,0.89,2
52,0.224,64,743,0.7,2
53,0.214,67,2072,0.4,7
54,0.202,71,684,1.21,1
55,0.284,50,597,0.88,2
56,0.174,82,525,1.13,1
57,0.234,61,1881,0.49,7
58,0.292,49,606,0.91,2
59,0.298,48,586,0.85,2
60,0.199,72,1216,0.82,6
61,0.199,72,588,1.4,1
62,0.2,71,1517,0.68,5
63,0.305,47,578,0.56,4
64,0.247,58,618,1.59,1
65,0.169,85,573,1.38,1
66,0.155,92,547,1.21,1
67,0.21,68,589,1,1
68,0.189,76,543,1.14,1
69,0.315,45,1470,0.47,5
70,0.174,82,546,1.25,1
71,0.138,104,607,1.51,1
72,0.233,61,765,0.35,4
73,0.276,52,586,0.6,2
74,0.147,98,573,1.15,1
75,0.181,79,570,1.31,1
76,0.173,83,554,1.05,1
77,0.158,91,568,1.31,1
78,0.214,67,590,1.1,1
79,0.274,52,666,1.4,3
80,0.255,56,893,1.36,3
81,0.148,97,553,1.3,1
82,0.228,63,618,1.35,1
83,0.18,80,542,1.34,1
84,0.202,71,704,0.94,3
85,0.192,75,457,0.84,1
86,0.167,86,507,1.16,1
87,0.158,91,719,1.23,3
88,0.149,96,659,1.62,1
89,0.219,65,579,1.37,1
90,0.204,70,569,1.34,1
91,0.175,82,559,0.56,2
92,0.295,48,591,0.94,5
93,0.278,51,1671,0.58,1
94,0.136,106,531,1.33,1
95,0.276,52,571,1.31,1
96,0.182,78,1747,0.56,5
97,0.2,71,601,0.78,2
98,0.159,90,533,1.17,1
99,0.296,48,639,0.7,4
100,0.193,74,562,1.21,1
101,0.184,78,541,1.39,1
102,0.191,75,1019,0.5,4
0,0.195,73,575,1.1,1
1,0.155,92,607,0.68,2
2,0.184,78,617,1.44,1
3,0.233,61,796,0.51,4
4,0.167,86,524,0.97,1
5,0.154,93,552,1.32,1
6,0.191,75,778,0.49,4
7,0.196,73,615,1.36,1
8,0.175,82,484,1.04,1
9,0.248,58,522,1.26,4
10,0.215,66,1113,0.5,3
11,0.243,59,528,0.71,1
13,0.283,50,568,1.46,1
14,0.233,61,2001,0.56,7
15,0.247,58,1856,0.42,7
16,0.224,64,1926,0.47,7
17,0.192,75,1058,0.59,4
18,0.2,71,573,1.44,1
19,0.277,51,2037,0.55,7
20,0.241,59,495,0.54,2
21,0.321,44,544,0.74,1
23,0.222,64,1025,0.43,4
24,0.262,54,410,0.7,1
25,0.289,49,1638,0.51,7
26,0.255,56,545,0.49,2
27,0.233,61,577,1.06,1
28,0.184,78,595,0.82,2
29,0.077,187,8962,1.41,1
30,0.237,60,593,1.45,1
31,0.178,80,588,1.34,1
32,0.196,73,552,1.12,1
33,0.185,77,543,1.36,1
34,0.2,71,636,0.84,1
35,0.155,92,561,1.34,1
36,0.18,80,547,1.39,1
37,0.187,77,560,0.86,1
38,0.147,98,563,1,1
39,0.181,79,637,0.86,2
40,0.215,66,931,0.37,4
41,0.224,64,1882,0.48,7
42,0.241,59,622,1.31,1
43,0.267,53,927,0.48,4
44,0.217,66,562,1.12,1
45,0.197,72,567,1.23,1
46,0.16,89,627,0.88,2
47,0.196,73,475,1.21,1
48,0.197,72,493,1.01,1
49,0.203,70,531,1.26,1
50,0.224,64,556,0.96,1
51,0.154,93,538,1.26,1
52,0.149,96,596,0.87,2
53,0.184,78,1250,0.91,6
54,0.203,70,633,0.89,2
55,0.208,69,686,1.1,3
56,0.177,81,1524,1.43,6
57,0.177,81,608,1.42,1
58,0.184,78,603,1.31,1
59,0.221,65,547,1.09,1
60,0.189,76,621,0.83,2
61,0.199,72,466,0.77,1
62,0.162,89,544,1.22,1
63,0.16,89,645,1.49,3
64,0.188,76,510,1.4,1
65,0.204,70,564,0.94,2
66,0.174,82,559,1.22,1
68,0.21,68,902,0.46,4
69,0.188,76,610,1.3,1
70,0.298,48,542,1.22,1
71,0.37,38,606,1.26,1
72,0.226,63,1805,0.43,7
73,0.225,63,568,1.46,1
74,0.233,61,533,0.88,1
75,0.171,83,605,1.47,1
76,0.123,116,602,0.96,2
77,0.222,64,756,0.4,4
78,0.203,70,984,0.49,4
79,0.214,67,609,1.34,1
80,0.14,102,481,1.11,1
81,0.276,52,871,0.52,4
82,0.284,50,1619,0.45,5
83,0.243,59,442,0.7,1
84,0.239,60,573,1.14,2
85,0.281,51,499,0.63,2
86,0.27,53,698,0.67,4
87,0.217,66,773,0.99,3
88,0.188,76,489,1.11,1
89,0.207,69,664,1.06,2
90,0.202,71,557,0.67,2
91,0.27,53,861,0.48,4
92,0.274,52,621,1.07,2
93,0.322,44,1039,0.47,4
94,0.235,61,1369,0.41,5
95,0.236,61,529,1.22,1
96,0.247,58,589,1.01,1
97,0.254,56,599,0.82,1
98,0.122,118,658,1.06,2
99,0.17,84,620,0.83,2
100,0.17,84,537,0.98,1
101,0.166,86,596,1.16,1
